Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
ARDX,Ardelyx Inc.,750M,2.8M,1.87,3.2% - 8.5%,$6.35 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,IBSRELA XPHOZAH,IBSRELA Apr 2022 XPHOZAH Oct 2023,IBSRELA Fast Track 2021,Phase 4 Data Readout Q3 2026,Kyowa Kirin,GI Disorders,Salix Ironwood (IRWD),24 months,May 2 2025,EPS -0.09 +12% Beat Revenue 46.0M +15% Beat,Jul 31 2025 (est.),8 (A-),BUY,USA,Strong commercial growth; IBSRELA sales ramping; stable finances[](https://www.biopharmcatalyst.com/company/ARDX)
ARGX,argenx SE,12.5B,300K,1.12,1.8% - 5%,$445.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,VYVGART,VYVGART Jun 2021,VYVGART Fast Track 2020,Phase 3 Data Readout Efgartigimod Q2 2026,Janssen (JNJ) Zai Lab,Immunology,Amgen (AMGN) Regeneron (REGN),36 months,May 9 2025,EPS -1.05 +10% Beat Revenue 412.3M +12% Beat,Aug 7 2025 (est.),9 (A),STRONG BUY,Netherlands,VYVGART strong commercial success; robust pipeline; financially stable[](https://www.biopharmcatalyst.com/news/2020/argenx-argx-shares-rally-on-positive-late-stage-data-34-alnylam-alny-lumasiran-pdufa-set-for-december)
ARMP,Armata Pharmaceuticals Inc.,75M,50K,1.92,3.5% - 9%,$2.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,AP-PA02,None,None,Phase 2 Data Readout Q3 2026,None,Bacteriophage Therapy,ContraFect (CFRX),12 months,May 7 2025,EPS -0.45 -15% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Small-cap bacteriophage focus; limited cash runway; high-risk pipeline
ARQT,Arcutis Biotherapeutics Inc.,650M,1.6M,1.78,2.8% - 7.5%,$8.90 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,ZORYVE,ZORYVE Jul 2022,None,Phase 4 Data Readout Q2 2026,None,Dermatology,Incyte (INCY) Dermavant,24 months,May 8 2025,EPS -0.55 +10% Beat Revenue 21.6M +12% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,ZORYVE commercial traction; expanding indications; stable finances[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-arqt/arcutis-biotherapeutics/valuation)
ARVN,Arvinas Inc.,1.4B,700K,1.87,2.5% - 7%,$26.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,ARV-110,None,None,Phase 2 Data Readout Q4 2025,Pfizer (PFE),PROTAC Technology,Amgen (AMGN) Kymera (KYMR),18 months,May 7 2025,EPS -0.95 -10% Miss Revenue 25.3M +8% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,PROTAC platform innovative; early-stage pipeline; Pfizer partnership key
ASMB,Assembly Biosciences Inc.,90M,30K,1.65,3% - 8%,$14.20 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,ABI-4334,None,None,Phase 1b Data Readout Q3 2026,Gilead (GILD),HBV Therapy,Arbutus (ABUS) Gilead (GILD),12 months,May 8 2025,EPS -0.35 -12% Miss Revenue 6.2M -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,HBV focus; limited cash runway; high-risk early-stage pipeline
ASND,Ascendis Pharma A/S,4.8B,300K,1.45,2% - 6%,$135.40 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,SKYTROFA YORVIPATH,SKYTROFA Aug 2021 YORVIPATH Aug 2024,SKYTROFA Fast Track 2020,Phase 3 Data Readout TransCon CNP Q1 2026,None,Endocrinology,Novo Nordisk (NVO) Pfizer (PFE),30 months,May 2 2025,EPS -1.35 +8% Beat Revenue 95.4M +10% Beat,Jul 31 2025 (est.),8 (A-),BUY,Denmark,Strong commercial portfolio; TransCon platform promising; financially stable
ATHA,Athira Pharma Inc.,100M,200K,1.92,3.5% - 9%,$2.60 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Fosgonimeton,None,None,Phase 2/3 Data Readout Q4 2025,None,Neurodegenerative Diseases,Alector (ALEC) Annovis (ANVS),12 months,May 7 2025,EPS -0.65 -15% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk neuro focus; limited cash runway; pivotal data critical
ATXS,Astria Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$9.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,STAR-0215,None,STAR-0215 Fast Track 2023,Phase 1b Data Readout Q2 2026,None,Hereditary Angioedema,Takeda (TAK) CSL Behring,18 months,May 9 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 7 2025 (est.),6 (B),HOLD,USA,Early-stage HAE focus; moderate risk; cash runway sufficient
ATYR,aTyr Pharma Inc.,150M,250K,1.87,3% - 8%,$1.95 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,ATYR1923,None,None,Phase 2 Data Readout Q3 2026,None,Pulmonary Sarcoidosis,Keros (KROS),12 months,May 7 2025,EPS -0.25 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,Small-cap pulmonary focus; limited cash runway; high-risk pipeline
AURA,Aura Biosciences Inc.,300M,200K,1.65,2.5% - 7%,$7.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Bel-sar,None,Bel-sar Fast Track 2022,Phase 3 Data Readout Q4 2026,None,Ocular Oncology,Immunocore (IMCR),18 months,May 8 2025,EPS -0.50 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Ocular oncology niche; early-stage pipeline; moderate risk
AUPH,Aurinia Pharmaceuticals Inc.,900M,1.4M,1.54,2% - 6%,$6.20 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,LUPKYNIS,LUPKYNIS Jan 2021,LUPKYNIS Fast Track 2020,Phase 4 Data Readout Q3 2026,Otsuka,Lupus Nephritis,GSK (GSK) Calliditas (CALT),24 months,May 2 2025,EPS -0.15 +12% Beat Revenue 50.3M +10% Beat,Jul 31 2025 (est.),7 (B+),BUY,Canada,LUPKYNIS commercial success; stable finances; expanding indications
AVIR,Atea Pharmaceuticals Inc.,350M,600K,1.78,2.8% - 7.5%,$4.10 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Bemnifosbuvir,None,None,Phase 3 Data Readout Q2 2026,Roche (RHHBY),Antiviral Therapy,Gilead (GILD) Merck (MRK),18 months,May 7 2025,EPS -0.55 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Antiviral focus; early-stage pipeline; Roche partnership key
AVXL,Anavex Life Sciences Corp.,450M,1.1M,1.92,3.2% - 8.5%,$5.40 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Blarcamesine,None,Blarcamesine Fast Track 2021,Phase 3 Data Readout Q1 2026,None,Neurodegenerative Diseases,Biogen (BIIB) Alector (ALEC),15 months,May 8 2025,EPS -0.15 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Neuro focus; high-risk pipeline; pivotal data critical
AXSM,Axsome Therapeutics Inc.,3.8B,800K,1.65,2% - 6%,$85.60 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,AUVELITY SUNOSI,AUVELITY Aug 2022 SUNOSI Jun 2019,AUVELITY Fast Track 2021,Phase 3 Data Readout AXS-12 Q4 2025,Pfizer (PFE),CNS Disorders,Jazz (JАЗZ) Alkermes (ALKS),30 months,May 7 2025,EPS -1.25 +10% Beat Revenue 74.8M +12% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong commercial traction; AUVELITY sales growing; robust pipeline
BBIO,BridgeBio Pharma Inc.,2.9B,1.3M,1.76,2.5% - 7%,$26.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Acoramidis,None,Acoramidis Fast Track 2023,Phase 3 Data Readout Q1 2026,BMS (BMY),Cardiomyopathy,Alnylam (ALNY) Pfizer (PFE),24 months,May 9 2025,EPS -0.95 -10% Miss Revenue 20.5M +8% Beat,Aug 7 2025 (est.),7 (B+),BUY,USA,Promising cardiomyopathy pipeline; strong partnerships; stable finances
BCAX,Bicara Therapeutics Inc.,700M,400K,1.54,2.8% - 7.5%,$18.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Ficzeranib,None,None,Phase 2 Data Readout Q3 2026,None,Head and Neck Cancer,Incyte (INCY) Merck (MRK),20 months,May 8 2025,EPS -0.40 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Early-stage oncology focus; moderate risk; cash runway sufficient
BCRX,BioCryst Pharmaceuticals Inc.,1.5B,2.5M,1.87,2.5% - 7%,$7.90 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,ORLADEYO,ORLADEYO Dec 2020,ORLADEYO Fast Track 2020,Phase 3 Data Readout Avoralstat Q2 2026,None,Hereditary Angioedema,Astria (ATXS) Takeda (TAK),24 months,May 7 2025,EPS -0.20 +8% Beat Revenue 92.4M +10% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,ORLADEYO commercial success; pipeline advancing; stable finances
BEAM,Beam Therapeutics Inc.,1.7B,900K,1.92,3% - 8%,$24.30 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,BEAM-101,None,BEAM-101 Fast Track 2022,Phase 1 Data Readout Q4 2025,Pfizer (PFE) Verve (VERV),Gene Editing,CRISPR (CRSP) Intellia (NTLA),18 months,May 7 2025,EPS -1.05 -10% Miss Revenue 10.2M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,USA,Gene editing platform; early-stage pipeline; strong partnerships
BIIB,Biogen Inc.,27.5B,1.2M,1.23,1.8% - 5%,$190.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,SPINRAZA LEQEMBI,SPINRAZA Dec 2016 LEQEMBI Jan 2023,LEQEMBI Fast Track 2022,Phase 3 Data Readout Q1 2026,Eisai (ESALY),Neurodegenerative Diseases,Eli Lilly (LLY) Roche (RHHBY),N/A,May 2 2025,EPS 3.85 +15% Beat Revenue 2.4B +5% Beat,Jul 31 2025 (est.),8 (A-),BUY,USA,Established neuro portfolio; LEQEMBI sales growing; financially stable
BLRX,BioLineRx Ltd.,150M,500K,1.65,3.2% - 8.5%,$0.70 - 01:30 PM EDT 06/10/2025,No,Decrease,Commercial,Healthcare,Biotechnology,APHEXDA,APHEXDA Sep 2023,APHEXDA Fast Track 2022,Commercial Expansion Q4 2025,None,Hematology,Amgen (AMGN) Jazz (JAZZ),12 months,May 8 2025,EPS -0.10 -8% Miss Revenue 6.8M +10% Beat,Aug 6 2025 (est.),6 (B),HOLD,Israel,APHEXDA recently approved; commercial ramp-up critical; limited cash runway[](https://www.nasdaq.com/articles/jnj-acquires-mnta-fda-strikes-down-bmrns-gene-therapy-blrxs-genesis-on-track-tptx-on-watch)
BMEA,Biomea Fusion Inc.,250M,600K,2.01,3.5% - 9%,$6.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,BMF-219,None,None,Phase 2 Data Readout Q3 2026,None,Oncology,Incyte (INCY) Merck (MRK),15 months,May 7 2025,EPS -0.75 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate risk
BMRN,BioMarin Pharmaceutical Inc.,14.5B,1.4M,1.34,1.8% - 5%,$78.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,VOXZOGO ROCTAVIAN,VOXZOGO Nov 2021 ROCTAVIAN Jun 2023,VOXZOGO Fast Track 2020,Phase 3 Data Readout BMN 307 Q2 2026,None,Rare Diseases,Ultragenyx (RARE) Sarepta (SRPT),N/A,May 2 2025,EPS 0.45 +12% Beat Revenue 650.3M +8% Beat,Jul 31 2025 (est.),8 (A-),BUY,USA,Strong rare disease portfolio; VOXZOGO sales robust; financially stable[](https://www.nasdaq.com/articles/jnj-acquires-mnta-fda-strikes-down-bmrns-gene-therapy-blrxs-genesis-on-track-tptx-on-watch)
BNTX,BioNTech SE,22.8B,700K,1.45,2% - 6%,$95.20 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,COMIRNATY,COMIRNATY Aug 2021,COMIRNATY Fast Track 2020,Phase 3 Data Readout BNT324 Q1 2026,Pfizer (PFE),mRNA Vaccines,Moderna (MRNA) Novavax (NVAX),N/A,May 7 2025,EPS -1.05 +10% Beat Revenue 1.2B +5% Beat,Aug 5 2025 (est.),8 (A-),BUY,Germany,COMIRNATY global success; mRNA oncology pipeline promising; financially stable
BPMC,Blueprint Medicines Corp.,3.5B,500K,1.54,2.5% - 7%,$95.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,AYVAKIT GAVRETO,AYVAKIT Jun 2020 GAVRETO Sep 2020,AYVAKIT Fast Track 2020,Phase 3 Data Readout BLU-222 Q4 2025,Roche (RHHBY),Precision Oncology,Amgen (AMGN) Loxo (LLY),30 months,May 7 2025,EPS -1.45 +8% Beat Revenue 85.6M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Precision oncology leader; AYVAKIT sales growing; strong pipeline
BTAI,BioXcel Therapeutics Inc.,150M,700K,2.10,3.5% - 9%,$1.80 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,BXCL501,IGALMI Apr 2022,IGALMI Fast Track 2021,Phase 3 Data Readout BXCL501 Q3 2026,None,Neuropsychiatric Disorders,Axsome (AXSM) Jazz (JAZZ),12 months,May 8 2025,EPS -0.65 -15% Miss Revenue 0.4M -20% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,IGALMI approved but limited uptake; high-risk pipeline; cash runway constrained
